"","item1","item2","rTT","Intercorrelations","reliabCorrectCorrelations","item1_rTT","item2_rTT"
"33","Avoid changes","Adapt easily to new situations",0.754156393649975,-0.563990680385534,-0.859669231357365,0.630219278800928,0.682950778848918
"34","Am full of ideas","Love to think up new ways of doing things",0.777737366017796,0.579526548166733,0.859512809917737,0.69671678013505,0.652507779441963
"35","Am good at understanding others feelings","Know how to comfort others",0.816887866083456,0.616374842312222,0.857958555737467,0.744225528537183,0.693509838763435
"36","Buy only the things I need","Spend more money than I should",0.836836580566802,-0.631931170391353,-0.857871245481691,0.668514865435885,0.811678914534171
"37","Dont mind being the center of attention","Like to stand out in a crowd",0.827420680336945,0.608758846173531,0.84412233829925,0.695486545793317,0.7478096253835
"38","Take offence easily","My feelings are easily hurt",0.781245541044784,0.5782149786542,0.839360374743241,0.644536763498658,0.736264831089232
"39","Get stressed out easily","Remain calm under pressure",0.801744274345382,-0.595534265651292,-0.834447108083556,0.753328005654206,0.676132433032372
"40","Have a dark outlook on the future","Tend to feel very hopeless",0.76570457655619,0.567778788664011,0.832581653212104,0.676050277232293,0.687900554557635
"41","Often feel that others misunderstand me","Feel that people are against me",0.697463191494046,0.515726451661956,0.831929218118396,0.606837644734014,0.63327675202419
"42","Am always joking","Have a great sense of humor",0.793682961488299,0.606169574596141,0.831415509909533,0.717075671034754,0.741288113512282
"43","Feel thankful for what I have received in life","Have been richly blessed in my life",0.811330458020967,0.593585266400893,0.830426530767392,0.707964904275672,0.721692288437822
"44","Cant make up my mind","Postpone decisions",0.724647437073986,0.524661154067632,0.82840472001004,0.630994850898837,0.635692189857298
"45","Love dangerous situations","Take risks",0.768861825414553,0.575527957573177,0.827791175292857,0.736488295834324,0.656334776862955
"46","Am always busy","Have too many things to do",0.772689124682493,0.547966385505599,0.82123639392586,0.67836244955637,0.65631096701414
"47","Have a low opinion of myself","Think highly of myself",0.7709851532486,-0.571398505014193,-0.819741470070111,0.742920759367337,0.654006241566985
"48","Dont quit a task before it is finished","Often stop working if it becomes too hard",0.779449565418989,-0.543208250207529,-0.812504909099217,0.631156508302026,0.708180008215892
"49","Feel that my life lacks direction","Am happy with my life",0.796250966279863,-0.582971990209019,-0.808507786110942,0.684847590442132,0.759159502473471
"50","Love to learn new things","Am interested in many things",0.769604468250039,0.538939071395862,0.80482446136271,0.691301378768776,0.648648743548908
"51","Find it easy to manipulate others","Have a natural talent for influencing people",0.790897110164943,0.58375634403839,0.802074166876884,0.729203916217409,0.726415624047773
"52","Am open about my feelings","Have difficulty showing affection",0.799767487036003,-0.569582949518563,-0.801768316364189,0.721144975919777,0.699831679429313
"53","Dislike talking about myself","Dont like to talk about my achievements",0.753908962767815,0.512314024395648,0.788242210912629,0.624518350386252,0.676406713824923
"54","Learn quickly","Am good at many things",0.804037677986041,0.54876126913021,0.776554373316197,0.732096594574128,0.682110566598394
"55","Wear stylish clothing","Love to look my best",0.80653363314492,0.574384024559372,0.76919931749385,0.812663999591933,0.68614499992031
"56","Blame myself when something goes wrong","Am often troubled by feelings of guilt",0.678993339398721,0.454462508626728,0.762488181353645,0.559961348265363,0.634412657767968
"57","Enjoy social gatherings","Prefer to be alone",0.840451123923494,-0.565129164855369,-0.751673172904366,0.797523493463534,0.708751277604016
"58","Am quick to judge others","Accept people as they are",0.726035187124857,-0.475833570554027,-0.749999062731795,0.631349159509996,0.637557133670158
"59","Am usually active and full of energy","Often feel tired",0.805648866797069,-0.52591007712084,-0.729263427087,0.720816248002422,0.721488726444885
"60","Try to out do others","Like to compete and do everything I can to win",0.772541722414168,0.472403559841104,0.711019301269155,0.674327739230113,0.654624895502542
"61","Am able to stand up for myself","Let others take advantage of me",0.748711268307774,-0.45624563964252,-0.701708027916498,0.653838853335168,0.646567453103207
"62","Am a spiritual person","Dont consider myself religious",0.862804935261488,-0.562257794473902,-0.700171626652578,0.794644847119702,0.811500669487717
"63","Cheat to get ahead","Often tell lies",0.771870697515605,0.463506416013328,0.685521723319924,0.646236449230639,0.707420445776803
"64","Demand a lot from others","Am hard to satisfy",0.633041086430345,0.382076697834216,0.680834553638163,0.53637918855234,0.587145864865007
"65","Snap at people","Yell at people",0.784343659476453,0.468141387831447,0.679601228969837,0.688425901072727,0.689268710045479
"66","Worry about what people think of me","Am not embarrassed easily",0.778195748573997,-0.463516115198601,-0.678731834080357,0.710153666711011,0.656721000125784
"67","Want to be in charge","Would like to have more power than other people",0.784801321403279,0.475528785270443,0.672834645141156,0.718400799137026,0.695296629809847
"68","Love order and regularity","Do things in a logical order",0.666073424418711,0.394224820595916,0.666241483596671,0.580039020276323,0.603625220304036
"69","Love excitement","Have a lot of fun",0.742748589553949,0.439619614143131,0.662491585548051,0.652935295794662,0.674408821520881
"70","Am quick to correct others","Believe that I am always right",0.726225873234131,0.416633000398098,0.654912520381623,0.625089523430177,0.647438507235041
"71","Have a vivid imagination","Love to daydream",0.724184572982417,0.437364995056122,0.65094737203612,0.68078055447794,0.663115445076584
"72","Believe in the importance of art","Do not like poetry",0.877160885299532,-0.515020525040624,-0.640892366802814,0.795771774979023,0.811503402729308
"73","Am easy to fool","Let myself be influenced by others",0.711183394465015,0.394559140877405,0.640140643175368,0.631871132541104,0.601235893733575
"74","Would like for other people to be afraid of me","Enjoy hurting others",0.753911980340338,0.41907698085811,0.63783483404905,0.639563270460991,0.674974912072882
"75","Believe that I am better than others","See myself as an average person",0.792915403488955,-0.440173402911379,-0.626687687414476,0.711022946210346,0.693843706558181
"76","Find that nothing excites me","Am often bored",0.783699526627677,0.440780292938806,0.622515141141152,0.681638277767505,0.735513299185359
"77","Love luxury","Am mainly interested in money",0.798557894515085,0.436395044734136,0.602174278375332,0.744838285000791,0.705104080307427
"78","Get suspicious when someone treats me nicely","Often feel that others laugh or talk about me",0.808693047615233,0.420949175174683,0.597529100125903,0.696994029306564,0.712052715065429
"79","Talk a lot","Talking with others energizes me",0.830227162096404,0.452329775627503,0.589850956142234,0.792954625256774,0.741613184329939
"80","Can maintain interest in something for a long time","My interests change quickly",0.669858777877411,-0.346124569986967,-0.578906003595956,0.554483324991807,0.644703846459736
"81","Am usually a patient person","Hate waiting for anything",0.770726394487322,-0.382581665180846,-0.570910403866193,0.738223661916273,0.608309263633086
"82","Am always on time","Hardly ever finish things on time",0.827685667531632,-0.437012934506611,-0.567543956877564,0.820677716469446,0.722465201548543
"83","Am an extremely loyal person","Switch my loyalties when I feel like it",0.692216333026464,-0.349941503926475,-0.565957728277347,0.658059414718655,0.580975490978788
"84","Find political discussions interesting","Avoid philosophical discussions",0.824661049499887,-0.421753917346357,-0.552515737516557,0.825942880575913,0.705470618245565
"85","Believe in the power of fate","Believe that all events can be explained scientifically",0.771284208621631,-0.388519103121044,-0.54931385367838,0.705495539149628,0.709070436986602
"86","Am interested in science","Like to solve complex problems",0.767179845346845,0.395136123711844,0.541172032934913,0.76549701512051,0.696432899699248
"87","Find it hard to forgive others","Get back at people who insult me",0.688289805826189,0.334173731009114,0.540208513165265,0.63764122268485,0.600130060712779
"88","Am easily distracted","Often forget things",0.777566726341665,0.370452639502527,0.52699406236851,0.70222943330148,0.703679524719495
"89","Believe in the importance of tradition","Think good manners are very important",0.744772116172863,0.300668661102622,0.434457462068002,0.728545645587441,0.657392944524127
"90","Enjoy flirting","Dont think much about sex",0.818913824718575,-0.333163665642909,-0.431343499320647,0.78982429820579,0.755332651447628
"91","Rebel against authority","Like to be viewed as proper and conventional",0.723312254849968,-0.22399590330072,-0.332295310179931,0.705950227422091,0.643661665526004
"92","Do things that men traditionally do","Do things that women traditionally do",0.694151227276572,-0.145373710731879,-0.236238547907599,0.563037321188929,0.672563106113548
"93","Believe that by working hard a person can achieve anything","Believe that some people are born lucky",0.668169998719052,0.0117574827128246,0.0173162704821859,0.711409458494727,0.64803780282479
"94","Worry about my health","Consider myself healthy for my age",0.690721449782049,0.0018687794754594,0.00263244444292864,0.645595394465059,0.780615659553095
